,loss,accuracy,val_loss,val_accuracy
0,0.2751716077327728,0.9030364155769348,0.12200227379798889,0.9558932781219482
1,0.060149483382701874,0.9802770614624023,0.04581119865179062,0.98591548204422
2,0.021612871438264847,0.9956884980201721,0.03879183903336525,0.98591548204422
3,0.012105321511626244,0.9984405040740967,0.03607525676488876,0.987398087978363
4,0.0064452956430613995,0.999724805355072,0.04739413410425186,0.9818384051322937
5,0.004623620305210352,0.9999082684516907,0.023171450942754745,0.9933283925056458
6,0.0028825905174016953,1.0,0.023250794038176537,0.9933283925056458
7,0.0022926805540919304,1.0,0.02248430997133255,0.9925870895385742
8,0.0018830690532922745,1.0,0.01981966756284237,0.9955522418022156
9,0.0015091864624992013,1.0,0.018032362684607506,0.9948109984397888
10,0.0011998832924291492,1.0,0.017125774174928665,0.9948109984397888
11,0.000989606138318777,1.0,0.018060127273201942,0.9944403171539307
12,0.0008344934321939945,1.0,0.01717970333993435,0.9951816201210022
13,0.0006950535462237895,1.0,0.017976216971874237,0.9955522418022156
14,0.0005948810721747577,1.0,0.015816044062376022,0.9948109984397888
